,0,1,2,3,4,5,6,7,8
28,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 12547, 2016-07-13, 16,  0, ,
29,AGUASCALIENTES, AGUASCALIENTES,PAMHER SERVICIO S.A. DE C.V., 12602, 2016-07-13, 20,  1, ,
30,AGUASCALIENTES, JESUS MARIA,SERVICIO JADSA S.A. DE C.V., 12811, 2016-07-13, 20,  0, ,
31,AGUASCALIENTES, PABELLON DE ARTEAGA,MULTISERVICIOS ESPECIALIZADOS MORITAS.A. DE C.V, 10438, 2016-07-12, 18,  1, ,
32,AGUASCALIENTES, PABELLON DE ARTEAGA,ESTACION DE SERVICIO PABELLON S.A.DE C.V., 11032, 2016-07-12, 14,  0, ,
33,AGUASCALIENTES, AGUASCALIENTES,RED TITANIUM S.A. DE C.V., 11854, 2016-07-12, 12,  0, ,
34,AGUASCALIENTES, JESUS MARIA,MARIA GUADALUPE BALLESTEROS RAMIREZ, 10625, 2016-07-11, 18,  1, ,
35,AGUASCALIENTES, JESUS MARIA,RED SIGLO XXI S.A. DE C.V., 10980, 2016-07-11, 18,  0, ,
36,AGUASCALIENTES, AGUASCALIENTES,ESTACION CUSTODIA S.A. DE C.V., 11007, 2016-07-11, 12,  0, ,
37,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIO LA VILLITA S.A. DE C.V., 11718, 2016-07-09, 16,  1, ,
38,AGUASCALIENTES, AGUASCALIENTES,DALROM S.A. DE C.V., 11772, 2016-07-09, 18,  0, ,
39,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS Y COMERCIALIZADORA NACIONALSA DE CV, 11324, 2016-07-08, 18,  1, ,
40,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 11357, 2016-07-08, 15,  0, ,
41,AGUASCALIENTES, AGUASCALIENTES,COSAGS S. A. DE C. V., 11582, 2016-07-08, 16,  1, ,
42,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS DE COMBUSTIBLES DE OCCIDENTE S.A. DE C.V., 11800, 2016-07-08, 8,  1, ,
43,AGUASCALIENTES, AGUASCALIENTES,SERVICIO RINCONADAS.A. DE C.V., 10003, 2016-07-07, 12,  0, ,
44,AGUASCALIENTES, AGUASCALIENTES,SERVICIO PETROJUELOS S.A. DE C.V., 10946, 2016-07-07, 16,  0, ,
45,AGUASCALIENTES, RINCON DE ROMOS,GERARDO PALOMINO MACIAS, 9601, 2016-07-06, 20,  1, ,
46,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AGOSTADERITO S. DE R.L. DE C.V., 9877, 2016-07-06, 12,  0, ,
47,AGUASCALIENTES, AGUASCALIENTES,SERVICIO GUADALUPANO S. DE R. L. DE C. V., 9913, 2016-07-06, 12,  0, ,
48,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4941, 2016-07-05, 24,  0, ,
49,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 1108, 2016-07-04, 16,  0, ,
50,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 3276, 2016-07-04, 20,  0, ,
51,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4938, 2016-07-04, 24,  0, ,
52,AGUASCALIENTES, JESUS MARIA,SALVADOR PARADA LOPEZ VELARDE, 7569, 2016-05-24, 14,  0, ,
53,AGUASCALIENTES, AGUASCALIENTES,SUPERSERVICIO TERECAR S.A. DE C.V., 7679, 2016-05-24, 18,  1, ,
54,AGUASCALIENTES, AGUASCALIENTES,XO SERVICIO S.A. DE C.V., 10712, 2016-05-24, 10,  0, ,
55,AGUASCALIENTES, JESUS MARIA,SERVICIO RINCONADA S.A DE C.V., 6938, 2016-05-23, 15,  1, ,
56,AGUASCALIENTES, COSIO,SERVICIO LOS PIRULES S.A. DE C.V., 8038, 2016-05-23, 12,  1, ,
57,AGUASCALIENTES, COSIO,SERVICIO NATILLAS S.A. DE C.V., 12266, 2016-05-23, 10,  1, ,
58,AGUASCALIENTES, RINCON DE ROMOS,SERVICIO INDEPENDENCIA S.A. DE C.V., 7221, 2016-05-21, 18,  0, ,
59,AGUASCALIENTES, AGUASCALIENTES,SUPERSERVICIO TERECAR S.A. DE C.V., 7245, 2016-05-21, 40,  6, ,
60,AGUASCALIENTES, SAN FRANCISCO DE LOS ROMO,SERVICIO ISAMEL S.A. DE C.V., 11519, 2016-05-21, 16,  1, ,
61,AGUASCALIENTES, AGUASCALIENTES,PALOMINO MACIAS GERARDO, 6764, 2016-05-20, 28,  1, ,
62,AGUASCALIENTES, AGUASCALIENTES,SERVICIO VILLAS DEL PILAR S.A. DE C.V., 7266, 2016-05-20, 18,  0, ,
63,AGUASCALIENTES, AGUASCALIENTES,FEMAL SA DE CV, 4492, 2016-05-19, 28,  3, ,
64,AGUASCALIENTES, AGUASCALIENTES,SERVICIO MARTIN SA DE CV, 4633, 2016-05-19, 24,  5, ,
65,AGUASCALIENTES, ASIENTOS,YANEZ ESPARZA ADALBERTO, 3123, 2016-05-18, 6,  6, ,
66,AGUASCALIENTES, CALVILLO,SERVICIO ROMALSA SA DE CV, 5454, 2016-05-18, 14,  1, ,
67,AGUASCALIENTES, CALVILLO,SERVICIO GASOLINERO CALVILLENSE S.A. DE C.V., 9849, 2016-05-17, 12,  0, ,
68,AGUASCALIENTES, CALVILLO,SERVICIO LA PANADERA S.A. DE C.V., 11101, 2016-05-17, 14,  2, ,
69,AGUASCALIENTES, CALVILLO,SERVICIO LA GASO S. A. DE C. V., 11206, 2016-05-17, 10,  0, ,
70,AGUASCALIENTES, CALVILLO,MISAEL CHAVEZ YANEZ, 3666, 2016-05-16, 20,  2, ,
71,AGUASCALIENTES, TEPEZALA,ESTACION EL CRUCERO SA DE CV, 5333, 2016-05-16, 12,  1, ,
72,AGUASCALIENTES, TEPEZALA,KOPLA S.A. DE C.V., 10079, 2016-05-16, 10,  0, ,
73,AGUASCALIENTES, ASIENTOS,ANDREA RODRIGUEZ PEREA, 7106, 2016-05-14, 10,  1, ,
74,AGUASCALIENTES, ASIENTOS,SERVICIO CIENEGA GRANDE S.A. DE C.V., 12031, 2016-05-14, 14,  2, ,
75,AGUASCALIENTES, ASIENTOS,FRANCISCO DIAZ DELGADO, 12618, 2016-05-14, 16,  5, ,
76,AGUASCALIENTES, PABELLON DE ARTEAGA,SERVICIO ISALSO SA DE CV, 5117, 2016-05-13, 14,  2, ,
77,AGUASCALIENTES, PABELLON DE ARTEAGA,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 5167, 2016-05-13, 10,  2, ,
78,AGUASCALIENTES, JESUS MARIA,SERVICIO VENADERO SA DE CV, 5743, 2016-05-13, 16,  6, ,
79,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4856, 2016-05-12, 24,  0, ,
80,AGUASCALIENTES, AGUASCALIENTES,ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE SA DE CV, 4971, 2016-05-12, 30,  3, ,
81,AGUASCALIENTES, JESUS MARIA,SERVICIO GACERO S.A.DE C.V., 10653, 2016-05-12, 18,  3, ,
82,AGUASCALIENTES, SAN JOSE DE GRACIA,MULTISERVICIOS SIGAS S.A. DE C.V., 3315, 2016-05-11, 12,  3, ,
83,AGUASCALIENTES, AGUASCALIENTES,TORRES VALENCIANO MIGUEL, 3797, 2016-05-11, 12,  3, ,
84,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AGUITAS SA DE CV, 4851, 2016-05-11, 24,  3, ,
85,AGUASCALIENTES, AGUASCALIENTES,SERVICIO LAS VIºAS S.A. DE C.V., 1110, 2016-05-10, 24,  4, ,
86,AGUASCALIENTES, PABELLON DE ARTEAGA,ESTACION BANDERA S.A. DE C.V., 1121, 2016-05-10, 8,  2, ,
87,AGUASCALIENTES, RINCON DE ROMOS,LUZ MARIA HERNANDEZ DAVILA (SU SUCESION), 1122, 2016-05-10, 20,  2, ,
88,AGUASCALIENTES, AGUASCALIENTES,SERVICIO MARTIN S.A.DE C.V., 1107, 2016-05-09, 10,  0, ,
89,AGUASCALIENTES, AGUASCALIENTES,M R SERVICIO S.A. DE C.V., 12603, 2016-04-28, 12,  2, ,
90,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIOS OTTO S.A. DE C.V., 10416, 2016-04-27, 22,  2, ,
91,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 10645, 2016-04-27, 28,  2, ,
92,AGUASCALIENTES, JESUS MARIA,SERVICIO GERO S.A. DE C.V., 11304, 2016-04-27, 16,  1, ,
93,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS DE COMBUSTIBLES DE OCCIDENTE S.A. DE C.V., 11800, 2016-04-27, El proveedor se negó a ser verificado. , ,,
94,AGUASCALIENTES, JESUS MARIA,ESTACION DE SERVICIOS CORRAL DE BARRANCOS SA DE CV, 7364, 2016-04-26, 16,  0, ,
95,AGUASCALIENTES, JESUS MARIA,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 10515, 2016-04-26, 12,  4, ,
96,AGUASCALIENTES, RINCON DE ROMOS,SERVICIO SAN FRANCISCO DE LOS ROMO DE AGUASCALIENTES SA DE CV, 3133, 2016-04-25, 16,  3, ,
97,AGUASCALIENTES, SAN JOSE DE GRACIA,MULTISERVICIOS SIGAS S.A. DE C.V., 3315, 2016-04-25, El proveedor se negó a ser verificado. , ,,
98,AGUASCALIENTES, AGUASCALIENTES,FORMULA GAS S.A. DE C.V., 12442, 2016-04-25, 12,  2, ,
99,AGUASCALIENTES, AGUASCALIENTES,ESTACION MONTORO S.A. DE C.V., 7998, 2016-04-24, 20,  3, ,
100,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIOS ESPECIALIZADOS MORITA SA DE CV., 11526, 2016-04-24, 18,  1, ,
101,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 9652, 2016-04-23, 16,  1, ,
102,AGUASCALIENTES, AGUASCALIENTES,SUPERSERVICIO TERECAR S.A. DE C.V., 10875, 2016-04-23, 18,  17, ,
103,AGUASCALIENTES, AGUASCALIENTES,DALCON S.A. DE C.V., 8817, 2016-04-22, 12,  2, ,
104,AGUASCALIENTES, AGUASCALIENTES,SERVICIO CARROBS S.A. DE C.V., 9265, 2016-04-22, 28,  5, ,
105,AGUASCALIENTES, AGUASCALIENTES,JORGE QUESADA MORAN, 9559, 2016-04-22, 18,  1, ,
106,AGUASCALIENTES, AGUASCALIENTES,SERVICIO RINCONADA S.A. DE C.V., 8457, 2016-04-21, 10,  1, ,
107,AGUASCALIENTES, AGUASCALIENTES,MARA ESTACION DE SERVICIOS S.A. DE C.V., 8511, 2016-04-21, 16,  0, ,
108,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS DE ALBA O S.A. DE C.V., 4527, 2016-04-19, 28,  4, ,
109,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIOS ESPECIALIZADOS MORITA S.A. DE C.V., 4585, 2016-04-19, 32,  5, ,
110,AGUASCALIENTES, AGUASCALIENTES,SUPER SERVICIO DAVILA AEROPUERTO S.A. DE C.V., 4591, 2016-04-19, 18,  3, ,
111,AGUASCALIENTES, AGUASCALIENTES,GASOLINERA DEL PARQUE S.A. DE C.V., 3791, 2016-04-18, 28,  4, ,
112,AGUASCALIENTES, AGUASCALIENTES,SERVICIO PALO ALTO SA DE CV, 3841, 2016-04-18, 6,  3, ,
113,AGUASCALIENTES, AGUASCALIENTES,SUPER SERVICIO BONATERRA S.A. DE C.V., 4504, 2016-04-18, 44,  6, ,
114,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GUZMANS.A., 1105, 2016-04-17, 20,  2, ,
115,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 1106, 2016-04-17, 24,  4, ,
116,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS VILLALOBOS S.A., 1099, 2016-04-16, 30,  3, ,
117,AGUASCALIENTES, AGUASCALIENTES,GASOLINERA ASTRA S.A. DE C.V., 1104, 2016-04-16, 28,  3, ,
118,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 10739, 2016-04-16, 26,  0, ,
119,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AGUASCALIENTESS.A., 2827, 2016-04-15, 34,  4, ,
120,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS SA DE CV, 5188, 2016-04-15, 22,  0, ,
121,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 11979, 2016-04-15, 36,  0, ,
122,AGUASCALIENTES, AGUASCALIENTES,TECNOCENTRO DE AGUASCALIENTES SA DE CV, 7361, 2016-04-14, 8,  3, ,
123,AGUASCALIENTES, AGUASCALIENTES,TERCER ANILLO S.A. DE C.V., 9738, 2016-04-14, 42,  5, ,
124,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 10122, 2016-04-14, 28,  1, ,
125,AGUASCALIENTES, AGUASCALIENTES,SERVICIO REFORMA DE MORELIA SA DE CV, 4567, 2016-04-13, 30,  4, ,
126,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS SA DE CV, 4673, 2016-04-13, 24,  3, ,
127,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS SA DE CV, 4725, 2016-04-13, 22,  0, ,
128,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AVENIDA S.A._DE C.V., 2722, 2016-04-12, 50,  5, ,
129,AGUASCALIENTES, AGUASCALIENTES,OPTIMUS ESTACION DE SERVICIO S. A. DE C. V., 10370, 2015-08-21, 12,  6, ,
130,AGUASCALIENTES, AGUASCALIENTES,ESTACION CUSTODIA S.A. DE C.V., 11007, 2015-08-21, 12,  12, ,
131,AGUASCALIENTES, AGUASCALIENTES,DALCON S.A. DE C.V., 8817, 2015-08-20, 12,  0, ,
132,AGUASCALIENTES, AGUASCALIENTES,OPERADORA DE MINIESTACIONES COMBUSERV S.A. DE C.V., 4437, 2015-08-19, 42,  0, ,
133,AGUASCALIENTES, AGUASCALIENTES,TERCER ANILLO S.A. DE C.V., 11508, 2015-08-19, 8,  4, ,
134,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 11979, 2015-08-19, 36,  0, ,
135,AGUASCALIENTES, AGUASCALIENTES,LOS PERALES DE AGUASCALIENTES S.A. DE C.V., 4356, 2015-08-18, 28,  3, ,
136,AGUASCALIENTES, AGUASCALIENTES,SERVICIO INDEPENDENCIA SA DE CV, 6181, 2015-08-18, 20,  1, ,
137,AGUASCALIENTES, AGUASCALIENTES,SERVICIO LOMAS AGUASCALIENTES S.A. DE C.V., 11162, 2015-08-18, 20,  1, ,
138,AGUASCALIENTES, AGUASCALIENTES,TECNOCENTRO DE AGUASCALIENTES SA DE CV, 7361, 2015-08-17, 8,  0, ,
139,AGUASCALIENTES, AGUASCALIENTES,PLAZA GAS S.A. DE C.V., 9301, 2015-08-17, 16,  4, ,
140,AGUASCALIENTES, AGUASCALIENTES,PLAZA GAS S.A. DE C.V., 11043, 2015-08-17, 14,  4, ,
141,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 1108, 2015-07-13, 16,  2, ,
142,AGUASCALIENTES, RINCON DE ROMOS,LUZ MARIA HERNANDEZ DAVILA (SU SUCESION), 1122, 2015-07-13, 20,  0, ,
143,AGUASCALIENTES, RINCON DE ROMOS,GERARDO PALOMINO MACIAS, 9601, 2015-07-13, 20,  4, ,
144,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GUZMANS.A., 1105, 2015-07-11, 20,  0, ,
145,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 1106, 2015-07-11, 24,  1, ,
146,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 10645, 2015-07-11, 28,  28, ,
147,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AGOSTADERITO S. DE R.L. DE C.V., 9877, 2015-07-10, 12,  3, ,
148,AGUASCALIENTES, AGUASCALIENTES,SERVICIO GUADALUPANO S. DE R. L. DE C. V., 9913, 2015-07-10, 12,  0, ,
149,AGUASCALIENTES, AGUASCALIENTES,SERVICIO RINCONADAS.A. DE C.V., 10003, 2015-07-10, 12,  0, ,
150,AGUASCALIENTES, AGUASCALIENTES,TORRES VALENCIANO MIGUEL, 3797, 2015-07-09, 12,  1, ,
151,AGUASCALIENTES, JESUS MARIA,SERVICIO INDEPENDENCIA S.A. DE C.V., 10993, 2015-05-19, 34,  3, ,
152,AGUASCALIENTES, CALVILLO,SERVICIO ROMALSA SA DE CV, 5454, 2015-05-18, 14,  1, ,
153,AGUASCALIENTES, AGUASCALIENTES,RED SIGLO XXI S.A. DE C.V., 7745, 2015-05-18, 24,  2, ,
154,AGUASCALIENTES, PABELLON DE ARTEAGA,ESTACION BANDERA S.A. DE C.V., 1121, 2015-05-16, 8,  1, ,
155,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4856, 2015-05-16, 24,  1, ,
156,AGUASCALIENTES, TEPEZALA,MULTISERVICIOS ESPECIALIZADOS MORITAS.A.DE C.V., 10080, 2015-05-16, 16,  1, ,
157,AGUASCALIENTES, AGUASCALIENTES,GASOLINERA DEL PARQUE S.A. DE C.V., 3791, 2015-05-15, 28,  2, ,
158,AGUASCALIENTES, AGUASCALIENTES,SUPER SERVICIO DAVILA AEROPUERTO S.A. DE C.V., 4591, 2015-05-15, El proveedor se negó a ser verificado. , ,,
159,AGUASCALIENTES, JESUS MARIA,SUPER SERVICIO BONATERRA SA DE CV, 5112, 2015-05-15, 12,  4, ,
160,AGUASCALIENTES, AGUASCALIENTES,GASOLINERA ASTRA S.A. DE C.V., 1104, 2015-05-14, 28,  5, ,
161,AGUASCALIENTES, RINCON DE ROMOS,SERVICIO SAN FRANCISCO DE LOS ROMO DE AGUASCALIENTES SA DE CV, 3133, 2015-05-14, 16,  1, ,
162,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO SA DE CV, 4941, 2015-02-17, 24,  0, ,
163,AGUASCALIENTES, AGUASCALIENTES,MURADAS S.A. DE C.V., 11233, 2015-02-17, 24,  0, ,
164,AGUASCALIENTES, AGUASCALIENTES,SERVICIO PALO ALTO SA DE CV, 3841, 2015-02-16, 6,  1, ,
165,AGUASCALIENTES, JESUS MARIA,SERVICIO VENADERO SA DE CV, 5743, 2015-02-16, 16,  3, ,
166,AGUASCALIENTES, AGUASCALIENTES,RN GAS S.A. DE C.V., 7754, 2015-02-16, 12,  1, ,
167,AGUASCALIENTES, AGUASCALIENTES,SERVICIO MARTIN S.A.DE C.V., 1107, 2015-02-14, 10,  0, ,
168,AGUASCALIENTES, AGUASCALIENTES,MARA ESTACION DE SERVICIOS S.A. DE C.V., 8511, 2015-02-14, 16,  2, ,
169,AGUASCALIENTES, AGUASCALIENTES,SERVICIO PETROJUELOS S.A. DE C.V., 10946, 2015-02-14, 16,  0, ,
170,AGUASCALIENTES, AGUASCALIENTES,SERVICIO GUADALUPANO S. DE R. L. DE C. V., 9913, 2014-11-20, 12,  0, ,
171,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIO LA VILLITA S.A. DE C.V., 11718, 2014-11-20, 16,  0, ,
172,AGUASCALIENTES, CALVILLO,MISAEL CHAVEZ YANEZ, 3666, 2014-11-12, 20,  0, ,
173,AGUASCALIENTES, CALVILLO,SERVICIO ROMALSA SA DE CV, 5454, 2014-11-12, 14,  2, ,
174,AGUASCALIENTES, JESUS MARIA,SUPER SERVICIO BONATERRA SA DE CV, 5112, 2014-11-11, 12,  1, ,
175,AGUASCALIENTES, JESUS MARIA,SERVICIO RINCONADA S.A DE C.V., 6938, 2014-11-11, 15,  0, ,
176,AGUASCALIENTES, PABELLON DE ARTEAGA,SERVICIO ISALSO SA DE CV, 5117, 2014-11-10, 14,  3, ,
177,AGUASCALIENTES, PABELLON DE ARTEAGA,FLORES MARMOLEJO MARTA ESTELA, 6778, 2014-11-10, 6,  2, ,
178,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS VILLALOBOS S.A., 1099, 2014-11-09, 30,  0, ,
179,AGUASCALIENTES, AGUASCALIENTES,TERCER ANILLO S.A. DE C.V., 11508, 2014-11-09, 8,  0, ,
180,AGUASCALIENTES, AGUASCALIENTES,PABLO ALEJANDRO PATRON CORDERO, 3045, 2014-11-08, 4,  2, ,
181,AGUASCALIENTES, AGUASCALIENTES,SUPERSERVICIO TERECAR S.A. DE C.V., 7245, 2014-11-08, El proveedor se negó a ser verificado. , ,,
182,AGUASCALIENTES, AGUASCALIENTES,MULTISERVICIOS OTTO S.A. DE C.V., 10416, 2014-11-08, 22,  1, ,
183,AGUASCALIENTES, ASIENTOS,YANEZ ESPARZA ADALBERTO, 3123, 2014-09-19, 6,  0, ,
184,AGUASCALIENTES, AGUASCALIENTES,TORRES VALENCIANO MIGUEL, 3797, 2014-09-19, 12,  5, ,
185,AGUASCALIENTES, PABELLON DE ARTEAGA,SERVICIO GALLEGOS E HIJOS SA DE CV, 5167, 2014-09-19, 10,  1, ,
186,AGUASCALIENTES, ASIENTOS,ANDREA RODRIGUEZ PEREA, 7106, 2014-09-19, 10,  3, ,
187,AGUASCALIENTES, PABELLON DE ARTEAGA,ESTACION BANDERA S.A. DE C.V., 1121, 2014-09-18, 8,  2, ,
188,AGUASCALIENTES, PABELLON DE ARTEAGA,MULTISERVICIOS ESPECIALIZADOS MORITAS.A. DE C.V, 10438, 2014-09-18, 18,  2, ,
189,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GUZMANS.A., 1105, 2014-09-16, 20,  0, ,
190,AGUASCALIENTES, JESUS MARIA,GASOLINERAS DE AGUASCALIENTES S.A. DE C.V., 3857, 2014-09-16, 18,  2, ,
191,AGUASCALIENTES, TEPEZALA,ESTACION EL CRUCERO SA DE CV, 5333, 2014-09-15, 12,  1, ,
192,AGUASCALIENTES, AGUASCALIENTES,ESTACION CUSTODIA S.A. DE C.V., 11007, 2014-09-15, 12,  1, ,
193,AGUASCALIENTES, AGUASCALIENTES,SERVICIO CARROBS S.A. DE C.V., 9265, 2014-09-13, 28,  11, ,
194,AGUASCALIENTES, AGUASCALIENTES,SERVICIO AGUITAS SA DE CV, 4851, 2014-09-12, 24,  0, ,
195,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 11357, 2014-09-12, 15,  0, ,
196,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V., 3276, 2014-09-11, 20,  0, ,
197,AGUASCALIENTES, AGUASCALIENTES,RN GAS S.A. DE C.V., 7754, 2014-06-28, 12,  2, ,
198,AGUASCALIENTES, AGUASCALIENTES,UNIDAD DE GASOLINERAS S.A. DE C.V., 10143, 2014-06-28, 32,  5, ,
199,AGUASCALIENTES, AGUASCALIENTES,SERVICIOS Y COMERCIALIZADORA NACIONALSA DE CV, 11324, 2014-06-28, 18,  3, ,
200,AGUASCALIENTES, AGUASCALIENTES,SERVICIO MARTIN S.A.DE C.V., 1107, 2014-06-27, 10,  0, ,
