,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
21,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),6,,,,,,,,,,,,,,,,
22,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
23,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
24,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
25,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),5,,,,,,,,,,,,,,,,
26,6.3,Calibración,Falta del ajuste de un instrumento de medición dentro de la…(ver más),6,,,,,,,,,,,,,,,,
27,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
28,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
29,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
30,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
31,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
32,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
33,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,
34,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
35,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
36,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),6,,,,,,,,,,,,,,,,
37,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),2,,,,,,,,,,,,
38,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,
39,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
40,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
41,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
42,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),1,,,,,,,,,,,,
43,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
44,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
45,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
46,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",2,,,,,,,,,,,,,,,,
47,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
48,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
49,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,,,,,,,,,,,,,,,,
50,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",2,,,,,,,,,,,,
51,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
52,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
53,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
54,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
55,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",17,,,,,,,,,,,,,,,,
56,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
57,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",1,,,,,,,,,,,,
58,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
59,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
60,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,,,,,,,,,,,,,,,,
61,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),3,,,,,,,,
62,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,
63,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,
64,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),2,,,,,,,,,,,,
65,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),6,,,,,,,,,,,,
66,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
67,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",2,,,,,,,,,,,,
68,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
69,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
70,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,,,,,,,,,,,,,,,,
71,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
72,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),2,,,,,,,,,,,,
73,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,,,,,
74,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,
75,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
76,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,
77,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",6,,,,,,,,,,,,,,,,
78,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",12,,,,,,,,,,,,,,,,
79,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",4,,,,,,,,,,,,,,,,
80,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),3,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,
81,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
82,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
83,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",4,,,,,,,,,,,,,,,,
84,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",3,,,,,,,,,,,,
85,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
86,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,
87,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
88,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",28,,,,,,,,,,,,,,,,
89,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",3,,,,,,,,,,,,,,,,
90,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,
91,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),3,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,
92,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
93,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",2,,,,,,,,,,,,,,,,
94,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
95,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
96,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
97,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
98,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,
99,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",4,,,,,,,,,,,,
100,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
101,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
102,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,
103,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,,,,,,,,,,,,,,,,
104,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),2,,,,,,,,,,,,
105,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),2,,,,,,,,,,,,,,,,
106,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
107,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
108,6.3,Calibración,Falta del ajuste de un instrumento de medición dentro de la…(ver más),2,,,,,,,,,,,,,,,,
109,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),2,,,,,,,,,,,,
110,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,,,,,
111,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",2,,,,,,,,
112,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,,,,,
113,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),2,,,,,,,,,,,,
114,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
115,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
116,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",1,,,,,,,,
117,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
118,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,,,,,
119,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",8,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),2
120,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,
121,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),4,,,,,,,,,,,,
122,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,
123,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
124,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
125,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
126,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,6.1,Holograma,Distintivo que se coloca en un instrumento de medición para…(ver más),1,,,,,,,,,,,,
127,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
128,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
129,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
130,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
131,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
132,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),2,,,,,,,,,,,,
133,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
134,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
135,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
136,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),2,,,,,,,,,,,,,,,,
137,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
138,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
139,6.3,Calibración,Falta del ajuste de un instrumento de medición dentro de la…(ver más),4,,,,,,,,,,,,,,,,
140,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,,,,,
141,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
142,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,,,,,
143,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",4,,,,,,,,,,,,,,,,
144,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
145,6.3,Calibración,Falta del ajuste de un instrumento de medición dentro de la…(ver más),8,,,,,,,,,,,,,,,,
146,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
147,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",4,6.1,Holograma,Distintivo que se coloca en un instrumento de medición para…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,
148,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),2,,,,,,,,,,,,,,,,
149,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,,,,,,,,,,,,,,,,
150,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
151,9.1,Fuga,Se inmoviliza el instrumento de medición cuando se observa …(ver más),1,,,,,,,,,,,,,,,,
152,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
153,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,,,,,
154,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
155,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
156,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
157,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",4,,,,,,,,,,,,
158,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
159,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),5,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",4,6.3,Calibración,Falta del ajuste de un instrumento de medición dentro de la…(ver más),4,,,,
160,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),1,,,,,,,,,,,,,,,,
161,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
162,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
163,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,9.2,Deficiencias evidentes,"El Dispensario debe funcionar sin presentar desperfectos, pi…(ver más)",1,,,,,,,,,,,,
164,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
165,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
166,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,,,,,
167,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",4,,,,,,,,,,,,,,,,
168,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),4,,,,,,,,,,,,,,,,
169,4.1,Dispositivo de almacenamiento,"Ante la falta de energía eléctrica en el Dispensario, se d…(ver más)",6,,,,,,,,,,,,,,,,
170,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),2,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,
171,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,,,,,
172,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,,,,,
173,4.9,Corte,Tiempo máximo en el cual se deberá inhabilitar automática…(ver más),1,,,,,,,,,,,,,,,,
174,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",4,,,,,,,,,,,,
175,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,,,,,,,,,,,,
176,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),1,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),1,4.7,Alteración de modelo,"El sistema de despacho de combustible o dispensario, no debe…(ver más)",2,7.1,Fuera de servicio,Cuando un instrumento de medición se encuentra fuera de ope…(ver más),8,,,,
177,3.1,Error máximo tolerado,La diferencia de combustible detectada entre lo indicado por…(ver más),3,3.2,Error de repetibilidad,Dispersión de las mediciones obtenidas en un instrumento de…(ver más),3,,,,,,,,,,,,
