,0,1,2,3,4,5
40,COSAGS S. A. DE C. V.,"AV. HEROE INMORTAL NO. 1501, COLONIA FRACC. MISION DE SANTA LUCIA, CP 20289",11582,2016-07-08,16,1
41,"SERVICIOS DE COMBUSTIBLES DE OCCIDENTE, S.A. DE C.V.","AV. AGUASCALIENTES NO. 802, COLONIA FRACC. BOSQUES DEL PRADO NORTE, CP 20127",11800,2016-07-08,8,1
42,"SERVICIO RINCONADA,S.A. DE C.V.","AV. MAHATMA GANDHI NO 402-A, COLONIA PRADOS DE VILLASUNCION, CP 20280",10003,2016-07-07,12,0
43,"SERVICIO PETROJUELOS, S.A. DE C.V.","BLVD. JUAN PABLO II NO 1100, COLONIA LA SECADORA, CP 20207",10946,2016-07-07,16,0
44,GERARDO PALOMINO MACIAS,"BOULEVARD LA GUAYANA – LORETO NO 170, COLONIA MACARIO J. GOMEZ, CP 20116",9601,2016-07-06,20,1
45,"SERVICIO AGOSTADERITO, S. DE R.L. DE C.V.","CARRETERA 42 AGUASCALIENTES-TANQUES DE LOS JIMENEZ KM. 5.170, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",9877,2016-07-06,12,0
46,"SERVICIO GUADALUPANO, S. DE R. L. DE C. V.","BLVD GUADALUPANO NO. 1310, COLONIA NAZARIO ORTIZ GARZA, CP 20170",9913,2016-07-06,12,0
47,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV AGUASCALIENTES NORTE N 724, COLONIA LAS TROJES, CP 20135",4941,2016-07-05,24,0
48,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","AV JOSE MARIA CHAVEZ N 1108, COLONIA LINDAVISTA, CP 20270",1108,2016-07-04,16,0
49,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","ROMA NO. 242, COLONIA FRACCIONAMIENTO DEL VALLE, CP 20080",3276,2016-07-04,20,0
50,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV AGUASCALIENTES N 3402, COLONIA PRADOS DEL SUR, CP 20280",4938,2016-07-04,24,0
51,SALVADOR PARADA LOPEZ VELARDE,"CARRETERA AGUASCALIENTES-ZACATECAS KM 13, COLONIA J. GOMEZ PORTUGAL, CP 20909",7569,2016-05-24,14,0
52,"SUPERSERVICIO TERECAR, S.A. DE C.V.","ADOLFO RUIZ CORTINEZ NO. 901, COLONIA FRANCISCO VIILLA, CP 20800",7679,2016-05-24,18,1
53,"XO SERVICIO, S.A. DE C.V.","CARRETERA RIVIERA SAN MARCOS KM. 16+936.64, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",10712,2016-05-24,10,0
54,"SERVICIO RINCONADA, S.A DE C.V.","CARRETERA JESUS MARIA-VALLADOLID KM. 2.6, JESUS MARIA, AGUASCALIENTES., COLONIA , CP ",6938,2016-05-23,15,1
55,"SERVICIO LOS PIRULES, S.A. DE C.V.","CARRT. PANAMERICANA # 1901, COLONIA , CP ",8038,2016-05-23,12,1
56,"SERVICIO NATILLAS, S.A. DE C.V.","AV. SIGLO XX1 NO.114, COLONIA CENTRO, CP 20460",12266,2016-05-23,10,1
57,"SERVICIO INDEPENDENCIA, S.A. DE C.V.","AVENIDA UNIVERSIDAD NO 202, COLONIA Sin Colonia, CP 20400",7221,2016-05-21,18,0
58,"SUPERSERVICIO TERECAR, S.A. DE C.V.","BOULEVARD SIGLO XXI NO. 301, COLONIA CIUDAD INDUSTRIAL, CP 20290",7245,2016-05-21,40,6
59,SERVICIO ISAMEL S.A. DE C.V.,"AV. BENITO JUAREZ NO 604-B, COLONIA SAN JOSE DEL BARRANCO, CP SC",11519,2016-05-21,16,1
60,PALOMINO MACIAS GERARDO,"AV. NIÐOS HEROES NO. 101 PTE, COLONIA TROJES DE ALONSO, CP 20311",6764,2016-05-20,28,1
61,"SERVICIO VILLAS DEL PILAR, S.A. DE C.V.","BLVD. SIGLO XXI  NO. 3242, COLONIA FRACC. VILLAS DEL PILAR, CP 20287",7266,2016-05-20,18,0
62,"FEMAL, SA DE CV","BL JOSE MARIA CHAVEZ N 1907, COLONIA PRADOS  DE VILLA ASUNCION, CP 20299",4492,2016-05-19,28,3
63,"SERVICIO MARTIN, SA DE CV","AV SIGLO XXI N 6401, COLONIA SOLIDARIDAD II, CP 20070",4633,2016-05-19,24,5
64,YANEZ ESPARZA ADALBERTO,"CARRETERA RAFAEL DE OCAMPO, AGS-S.L.P. Y AGS-LORETO KM , COLONIA Sin Colonia, CP 20780",3123,2016-05-18,6,6
65,"SERVICIO ROMALSA, SA DE CV","PROL 5 DE MAYO N 1202, COLONIA FRACCIONAMIENTO MARTINEZ, CP 20800",5454,2016-05-18,14,1
66,"SERVICIO GASOLINERO CALVILLENSE, S.A. DE C.V.","BLVD. RODOLFO LANDEROS GALLEGOS NO 467, COLONIA EL CHILARILLO, CP 20800",9849,2016-05-17,12,0
67,"SERVICIO LA PANADERA, S.A. DE C.V.","BLVD. RODOLFO LANDEROS GALLEGOS NO. 780 , CALVILLO, AGUASCALIENTES., COLONIA , CP ",11101,2016-05-17,14,2
68,SERVICIO LA GASO S. A. DE C. V.,"LA PESCA PUERTO VALLARTA NO. 195, COLONIA JALTICHE DE ABAJO, CP 20862",11206,2016-05-17,10,0
69,MISAEL CHAVEZ YANEZ,"BLVD. RODOLFO LANDEROS CALVILLO, COLONIA BOULEVARD, CP 20800",3666,2016-05-16,20,2
70,"ESTACION EL CRUCERO, SA DE CV","CARRETERA AGUASCALIENTES-LUIS MOYA NO. 301, TEPEZALA, AGUASCALIENTES., COLONIA Sin Colonia, CP 20270",5333,2016-05-16,12,1
71,"KOPLA, S.A. DE C.V.","CARRETERA LA PROVIDENCIA – LUIS MOYA KM. 20+373.96 COL. SAN ANTONIO, TEPEZALA, AGUASCALIENTES., COLONIA , CP ",10079,2016-05-16,10,0
72,ANDREA RODRIGUEZ PEREA,"CARRETERA PILOTOS KM. 33.5 CRUCE CARRETERA LA SOLEDAD, ASIENTOS, AGUASCALIENTES., COLONIA , CP ",7106,2016-05-14,10,1
73,"SERVICIO CIENEGA GRANDE, S.A. DE C.V.","KM RIBIER – SAN MARCOS KM 44.43, COLONIA , CP ",12031,2016-05-14,14,2
74,FRANCISCO DIAZ DELGADO,"KM. 30+980 DE LA CARRETERA RIBIER-SAN M, COLONIA , CP ",12618,2016-05-14,16,5
75,"SERVICIO ISALSO, SA DE CV","CARRETERA AGUASCALIENTES-ZACATECAS KM. 24, PABELLON DE ARTEAGA, AGUASCALIENTES., COLONIA , CP ",5117,2016-05-13,14,2
76,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","CARRETERA AGUASCALIENTES-ZACATECAS KM. 28.5, PABELLON DE ARTEAGA, AGUASCALIENTES., COLONIA , CP ",5167,2016-05-13,10,2
77,"SERVICIO VENADERO, SA DE CV","CARRETERA FEDERAL AGUASCALIENTES-CALVILLO KM. 17.4, LOC. IGNACIO ZARAGOZA , JESUS MARIA, AGUASCALIENTES., COLONIA , CP ",5743,2016-05-13,16,6
78,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV DE LA CONVENCION PONIENTE N 1402, COLONIA CURTIDORES, CP 20040",4856,2016-05-12,24,0
79,"ESTACION DE SERVICIO AUTOMOTRIZ DEL NORTE, SA DE CV","AV AGUASCALIENTES N 782, COLONIA LAS TROJES, CP 20135",4971,2016-05-12,30,3
80,"SERVICIO GACERO, S.A.DE C.V.","AV. SIGLO XXI NO. 2020, COLONIA LA PROVIDENCIA, CP 20984",10653,2016-05-12,18,3
81,"MULTISERVICIOS SIGAS, S.A. DE C.V.","EMILIANO ZAPATA NO. 505, COLONIA CENTRO, CP 20500",3315,2016-05-11,12,3
82,TORRES VALENCIANO MIGUEL,"CARRETERA AGUASCALIENTES-OJUELOS KM. 22 ENTROQUE CARRETERA A SAN BARTOLO, AGUASCALIENTES, COLONIA Sin Colonia, CP 20347",3797,2016-05-11,12,3
83,"SERVICIO AGUITAS, SA DE CV","AV AGUASCALIENTES SUR N 102, COLONIA VERSALLES SEGUNDA SECCION, CP 20285",4851,2016-05-11,24,3
84,SERVICIO LAS VIºAS S.A. DE C.V.,"CARR. PANAMERICANA KM 537, COLONIA NINGUNA, CP 20126",1110,2016-05-10,24,4
85,"ESTACION BANDERA, S.A. DE C.V.","PLUTARCO ELIAS CALLES NO.88, COLONIA 5 DE MAYO, CP 26676",1121,2016-05-10,8,2
86,LUZ MARIA HERNANDEZ DAVILA (SU SUCESION),"MORELOS NORTE 508, COLONIA RINCON DE ROMOS, CP 20400",1122,2016-05-10,20,2
87,"SERVICIO MARTIN, S.A.DE C.V.","CA GENERAL BARRAGAN N 457 Y 459, COLONIA CENTRO, CP 20000",1107,2016-05-09,10,0
88,"M R SERVICIO, S.A. DE C.V.","AVENIDA CONVENCION DE 1914 NORTE NO. 1507, COLONIA MIRAVALLE, CP 20040",12603,2016-04-28,12,2
89,"MULTISERVICIOS OTTO, S.A. DE C.V.","BLV. TECNOLOGICO NO. 1220, COLONIA EJIDO SALTO DE OJOCALIENTE FRACC., CP 20196",10416,2016-04-27,22,2
90,"RED SIGLO XXI, S.A. DE C.V.","BLV.  LIC. MIGUEL DE LA MADRID HURTADO NO. 2592, COLONIA MISION DEL CAMPANARIO, CP 20118",10645,2016-04-27,28,2
91,"SERVICIO GERO, S.A. DE C.V.","EMILIANO ZAPATA NO 846, COLONIA EL CALVARIO, CP 20922",11304,2016-04-27,16,1
92,"SERVICIOS DE COMBUSTIBLES DE OCCIDENTE, S.A. DE C.V.","AV. AGUASCALIENTES NO. 802, COLONIA FRACC. BOSQUES DEL PRADO NORTE, CP 20127",11800,2016-04-27,0,0
93,"ESTACION DE SERVICIOS CORRAL DE BARRANCOS, SA DE CV","BLVD. MIGUEL DE LA MADRID 898, COLONIA CORRAL DE BARRANCOS, CP 20130",7364,2016-04-26,16,0
94,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","BOULEVARD ALEJANDRO DE LA CRUZ SAUCEDO NO. 1300, COLONIA EL BARRENO, CP 20904",10515,2016-04-26,12,4
95,"SERVICIO SAN FRANCISCO DE LOS ROMO DE AGUASCALIENTES, SA DE CV","AV JUAREZ NO. 313 SUR, COLONIA CENTRO, CP 20300",3133,2016-04-25,16,3
96,"MULTISERVICIOS SIGAS, S.A. DE C.V.","EMILIANO ZAPATA NO. 505, COLONIA CENTRO, CP 20500",3315,2016-04-25,0,0
97,"FORMULA GAS, S.A. DE C.V.","AV. GABRIELA MISTRAL NO. 100, COLONIA FRACCIONAMIENTO LA ESTRELLA, CP 20150",12442,2016-04-25,12,2
98,"ESTACION MONTORO, S.A. DE C.V.","CARRETERA PANAMERICANA KM. 112.24 AGUASCALIENTES-MEXICO, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",7998,2016-04-24,20,3
99,"MULTISERVICIOS ESPECIALIZADOS MORITA, SA DE CV.","AVE. SIGLO XXI, COLONIA LOMAS DEL CHAPULIN, CP 20263",11526,2016-04-24,18,1
100,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","AV. AGUASCALIENTES NO. 999, COLONIA BOSQUES DEL PRADO ORIENTE, CP 20159",9652,2016-04-23,16,1
101,"SUPERSERVICIO TERECAR, S.A. DE C.V.","BLVD. SIGLO XXI NO. 120, COLONIA MUNICIPIO LIBRE, CP 20199",10875,2016-04-23,18,17
102,"DALCON, S.A. DE C.V.","AV. SIGLO XXI  NO 101, ESQ.  AV. HEROE INMORTAL, COLONIA MORELOS II SECCION, CP 20140",8817,2016-04-22,12,2
103,"SERVICIO CARROBS, S.A. DE C.V.","BOULEVARD A ZACATECAS KM 8, COLONIA SC, CP SC",9265,2016-04-22,28,5
104,JORGE QUESADA MORAN,"BLVD. SIGLO XXI, NO. 2829, COLONIA LOMAS DE OTE. 1A SECCCION, CP 20171",9559,2016-04-22,18,1
105,"SERVICIO RINCONADA, S.A. DE C.V.","CARRETERA RIVIERA SAN MARCOS KM. 5.566 EJIDO CHICALOTE, SAN FCO. DE LOS ROMO, AGUASCALIENTES., COLONIA , CP ",8457,2016-04-21,10,1
106,"MARA ESTACION DE SERVICIOS, S.A. DE C.V.","BOULEVARD AGUASCALIENTES 2074, COLONIA LOMAS DE SANTA ANITA, CP 20160",8511,2016-04-21,16,0
107,"SERVICIOS DE ALBA O, S.A. DE C.V.","AV DE LA CONVENCION DE 1914 PTE No. 410, COLONIA CIRCUNVALACION PONIENTE, CP 20210",4527,2016-04-19,28,4
108,"MULTISERVICIOS ESPECIALIZADOS MORITA, S.A. DE C.V.","JUAN CARLOS NO 119, COLONIA PARQUE INDUSTRIAL SIGLO XXI, CP 20240",4585,2016-04-19,32,5
109,"SUPER SERVICIO DAVILA AEROPUERTO, S.A. DE C.V.","CARR. 45 SUR KM. 113.5 ENTRE AGUASCALIENTES Y ENCARNACION DE DIAZ, COLONIA , CP 20340",4591,2016-04-19,18,3
110,GASOLINERA DEL PARQUE S.A. DE C.V.,"CIRCUITO AGUASCALIENTES NORTE 164, COLONIA PARQUE INDUSTRIAL DEL VALLE DE AGUAS, CP 20355",3791,2016-04-18,28,4
111,"SERVICIO PALO ALTO, SA DE CV","CARRET.  PALO ALTO-LA SOLEDAD KM 18.5, COLONIA , CP ",3841,2016-04-18,6,3
112,"SUPER SERVICIO BONATERRA, S.A. DE C.V.","AVE. AGUASCALIENTES SUR NO 200, COLONIA VISTA DEL SOL, CP 20270",4504,2016-04-18,44,6
113,"SERVICIOS GUZMAN,S.A.","HEROE DE NACOZARI  SUR NO 704, COLONIA SAN LUIS, CP 20270",1105,2016-04-17,20,2
114,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","BOULEVARD A ZACATECAS NO 304, COLONIA EL PLATEADO, CP 20137",1106,2016-04-17,24,4
115,"SERVICIOS VILLALOBOS, S.A.","CARRETERA PANAMERICANA KM. 526, AGUASCALIENTES, AGUASCALIENTES, COLONIA CIUDAD INDUSTRIAL, CP 20280",1099,2016-04-16,30,3
116,"GASOLINERA ASTRA, S.A. DE C.V.","AV LA CONVENCION SUR N 600, COLONIA FRACCIONAMIENTO LAS AMERICAS, CP 20230",1104,2016-04-16,28,3
117,"UNIDAD DE GASOLINERAS, S.A. DE C.V.","CARRETERA PANAMERICANA SUR  KM. 115+333, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",10739,2016-04-16,26,0
118,"SERVICIO AGUASCALIENTES,S.A.","CA HEROES DE NACOZARI SUR N S/N, COLONIA OJO DE AGUA, CP 20260",2827,2016-04-15,34,4
119,"UNIDAD DE GASOLINERAS, SA DE CV","AV. ESTADOS UNIDOS DE AMERICA NO. 100, COL. PARQUE INDUSTRIAL, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",5188,2016-04-15,22,0
120,"UNIDAD DE GASOLINERAS, S.A. DE C.V.","AV. TECNOLOGICO NO. 125, COLONIA FRACC. EJIDO SALTO DE OJOCALIENTE, CP 20263",11979,2016-04-15,36,0
121,"TECNOCENTRO DE AGUASCALIENTES, SA DE CV","CC GALERIAS L-6, COLONIA TROJES DE ALONSO, CP 20110",7361,2016-04-14,8,3
122,"TERCER ANILLO, S.A. DE C.V.","AV. J. GUADALUPE GONZALEZ NO 1102, COLONIA EJIDO POCITOS, CP 20328",9738,2016-04-14,42,5
123,"RED SIGLO XXI, S.A. DE C.V.","AV. AGUASCALIENTES NO 1651, COLONIA LOS SAUCES, CP 20010",10122,2016-04-14,28,1
124,"SERVICIO REFORMA DE MORELIA, SA DE CV","BOULEVARD AGUASCALIENTES NO 601, COLONIA EL COBANO, CP 20158",4567,2016-04-13,30,4
125,"UNIDAD DE GASOLINERAS, SA DE CV","AV UNIVERSIDAD N 602-5, COLONIA UNION GANADERA, CP 20103",4673,2016-04-13,24,3
126,"UNIDAD DE GASOLINERAS, SA DE CV","AV CONVENCION ORIENTE N 361, COLONIA SANTA ANITA, CP 20169",4725,2016-04-13,22,0
127,"SERVICIO AVENIDA, S.A._DE C.V.","AV CONVENCION NORTE N 1902, COLONIA BUENOS AIRES, CP 20020",2722,2016-04-12,50,5
128,OPTIMUS ESTACION DE SERVICIO S. A. DE C. V.,"BLVD. SIGLO XXI ESQ. PROLONGACION CONSTITUCION, COLONIA LIC. MANUEL GOMEZ MORIN, CP 20200",10370,2015-08-21,12,6
129,"ESTACION CUSTODIA, S.A. DE C.V.","AVE. INDEPENDENCIA 1839-D, COLONIA TROJES DE ALONSO, CP 20116",11007,2015-08-21,12,12
130,"DALCON, S.A. DE C.V.","AV. SIGLO XXI  NO 101, ESQ.  AV. HEROE INMORTAL, COLONIA MORELOS II SECCION, CP 20140",8817,2015-08-20,12,0
131,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V.","AV AGUASCALIENTES NUMERO 7038 ESQ GUADALUPE GONZALEZ, COLONIA PRIMO DE VERDAD, CP 20130",4437,2015-08-19,42,0
132,"TERCER ANILLO, S.A. DE C.V.","AVENIDA AGUASCALIENTES NO 1399, COLONIA MODERNO, CP 20060",11508,2015-08-19,8,4
133,"UNIDAD DE GASOLINERAS, S.A. DE C.V.","AV. TECNOLOGICO NO. 125, COLONIA FRACC. EJIDO SALTO DE OJOCALIENTE, CP 20263",11979,2015-08-19,36,0
134,"LOS PERALES DE AGUASCALIENTES, S.A. DE C.V.","AV AGUASCALIENTES ORIENTE N 2604, COLONIA FRACCIONAMIENTO OJO CALIENTE, CP 20130",4356,2015-08-18,28,3
135,"SERVICIO INDEPENDENCIA, SA DE CV","AV. SIGLO XXI NO 700, COLONIA TROJES DE ALONSO, CP 20900",6181,2015-08-18,20,1
136,"SERVICIO LOMAS AGUASCALIENTES, S.A. DE C.V.","AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS NO. 428, COLONIA EL ENCINO, CP 20240",11162,2015-08-18,20,1
137,"TECNOCENTRO DE AGUASCALIENTES, SA DE CV","CC GALERIAS L-6, COLONIA TROJES DE ALONSO, CP 20110",7361,2015-08-17,8,0
138,"PLAZA GAS, S.A. DE C.V.","AV. SAN GABRIEL NO 123, COLONIA FRACC. OJO CALIENTE III, CP 20196",9301,2015-08-17,16,4
139,"PLAZA GAS, S.A. DE C.V.","AV. SIGLO XXI 1713, COLONIA EX-HACIENDA LA CANTERA, CP 20200",11043,2015-08-17,14,4
140,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","AV JOSE MARIA CHAVEZ N 1108, COLONIA LINDAVISTA, CP 20270",1108,2015-07-13,16,2
141,LUZ MARIA HERNANDEZ DAVILA (SU SUCESION),"MORELOS NORTE 508, COLONIA RINCON DE ROMOS, CP 20400",1122,2015-07-13,20,0
142,GERARDO PALOMINO MACIAS,"BOULEVARD LA GUAYANA – LORETO NO 170, COLONIA MACARIO J. GOMEZ, CP 20116",9601,2015-07-13,20,4
143,"SERVICIOS GUZMAN,S.A.","HEROE DE NACOZARI  SUR NO 704, COLONIA SAN LUIS, CP 20270",1105,2015-07-11,20,0
144,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.","BOULEVARD A ZACATECAS NO 304, COLONIA EL PLATEADO, CP 20137",1106,2015-07-11,24,1
145,"RED SIGLO XXI, S.A. DE C.V.","BLV.  LIC. MIGUEL DE LA MADRID HURTADO NO. 2592, COLONIA MISION DEL CAMPANARIO, CP 20118",10645,2015-07-11,28,28
146,"SERVICIO AGOSTADERITO, S. DE R.L. DE C.V.","CARRETERA 42 AGUASCALIENTES-TANQUES DE LOS JIMENEZ KM. 5.170, AGUASCALIENTES, AGUASCALIENTES., COLONIA , CP ",9877,2015-07-10,12,3
147,"SERVICIO GUADALUPANO, S. DE R. L. DE C. V.","BLVD GUADALUPANO NO. 1310, COLONIA NAZARIO ORTIZ GARZA, CP 20170",9913,2015-07-10,12,0
148,"SERVICIO RINCONADA,S.A. DE C.V.","AV. MAHATMA GANDHI NO 402-A, COLONIA PRADOS DE VILLASUNCION, CP 20280",10003,2015-07-10,12,0
149,TORRES VALENCIANO MIGUEL,"CARRETERA AGUASCALIENTES-OJUELOS KM. 22 ENTROQUE CARRETERA A SAN BARTOLO, AGUASCALIENTES, COLONIA Sin Colonia, CP 20347",3797,2015-07-09,12,1
150,"SERVICIO INDEPENDENCIA, S.A. DE C.V.","CIR. AGUASCALIENTES ESQ. MPIO DE RINCON DE ROMOS, AGUASCALIENTES. KM 17.04, COLONIA , CP ",10993,2015-05-19,34,3
151,"SERVICIO ROMALSA, SA DE CV","PROL 5 DE MAYO N 1202, COLONIA FRACCIONAMIENTO MARTINEZ, CP 20800",5454,2015-05-18,14,1
152,"RED SIGLO XXI, S.A. DE C.V.","BLVD. SIGLO XXI, 5202, COLONIA HACIENDAS DE AGUASCALIENTES, CP 20133",7745,2015-05-18,24,2
153,"ESTACION BANDERA, S.A. DE C.V.","PLUTARCO ELIAS CALLES NO.88, COLONIA 5 DE MAYO, CP 26676",1121,2015-05-16,8,1
154,"SERVICIOS GASOLINEROS DE MEXICO, SA DE CV","AV DE LA CONVENCION PONIENTE N 1402, COLONIA CURTIDORES, CP 20040",4856,2015-05-16,24,1
